iter	Passed	Remaining
865	4102	634
866	4108	630
867	4112	625
868	4118	620
869	4123	616
870	4128	611
871	4133	606
872	4138	602
873	4143	597
874	4148	592
875	4152	587
876	4157	583
877	4162	578
878	4167	573
879	4171	568
880	4176	564
881	4180	559
882	4184	554
883	4189	549
884	4195	545
885	4199	540
886	4204	535
887	4209	530
888	4213	526
889	4217	521
890	4222	516
891	4227	511
892	4232	507
893	4237	502
894	4243	497
895	4248	493
896	4253	488
897	4258	483
898	4263	478
899	4268	474
900	4274	469
901	4279	465
902	4284	460
903	4290	455
904	4295	450
905	4300	446
906	4305	441
907	4310	436
908	4315	432
909	4320	427
910	4324	422
911	4329	417
912	4334	413
913	4339	408
914	4344	403
915	4349	398
916	4354	394
917	4359	389
918	4365	384
919	4370	380
920	4375	375
921	4381	370
922	4386	365
923	4391	361
924	4396	356
925	4401	351
926	4406	346
927	4411	342
928	4415	337
929	4420	332
930	4425	327
931	4430	323
932	4435	318
933	4440	313
934	4445	309
935	4450	304
936	4454	299
937	4459	294
938	4463	289
939	4468	285
940	4473	280
941	4477	275
942	4482	270
943	4486	266
944	4491	261
945	4496	256
946	4500	251
947	4505	247
948	4509	242
949	4514	237
950	4518	232
951	4523	228
952	4527	223
953	4532	218
954	4537	213
955	4542	209
956	4546	204
957	4551	199
958	4555	194
959	4560	190
960	4564	185
961	4569	180
962	4573	175
963	4578	170
964	4582	166
965	4587	161
966	4591	156
967	4596	151
968	4600	147
969	4605	142
970	4610	137
971	4615	132
972	4620	128
973	4625	123
974	4630	118
975	4634	113
976	4639	109
977	4643	104
978	4647	99
979	4652	94
980	4657	90
981	4662	85
982	4667	80
983	4671	75
984	4676	71
985	4681	66
986	4686	61
987	4691	56
988	4696	52
989	4700	47
990	4705	42
991	4709	37
992	4714	33
993	4719	28
994	4725	23
995	4731	19
996	4736	14
997	4740	9
998	4745	4
999	4749	0
